date,views,average_view_duration,retention,watch_time_minutes,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,estimated_partner_revenue_usd,estimated_partner_ad_revenue_usd,estimated_partner_adsense_revenue_usd,estimated_partner_doubleclick_revenue_usd,partner_transaction_revenue_usd,transactions,partner_revenue_per_transaction_usd,estimated_monetized_playbacks,playback_based_cpm_usd,ad_impressions,cpm_usd,youtube_ad_revenue_usd,youtube_red_partner_revenue_usd,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,videos_published,videos_added,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,average_percentage_viewed,watch_time_hours
2/5/19,82599,1.2,47.36,98201,0,0,0,0,0,0,0,0,0,11.83,11.53,10.91,0.62,0,0,0,5772,3.63,5851,3.58,20.96,0.3,0,0,0,0,0,0,0,0,1,345,383,38,24,38,14,134,10,191,329,138,285,335,50,47.36,1637
2/6/19,89003,1.1,46.63,101918,0,0,0,0,0,0,0,0,0,11.82,11.57,10.72,0.85,0,0,0,6365,3.28,6531,3.2,20.9,0.25,0,2,0,1,2,50,2,0,0,312,352,40,33,49,16,98,7,136,270,134,309,348,39,46.63,1699
2/7/19,87552,1.1,47.01,100018,0,0,0,0,0,0,0,0,0,12.94,12.54,11.55,0.99,0,0,0,6666,3.42,6832,3.34,22.8,0.4,0,0,0,0,0,0,0,0,0,320,356,36,27,33,6,105,4,150,283,133,245,295,50,47.01,1667
2/8/19,92645,1.1,46.52,102339,0,0,0,0,0,0,0,0,0,13.08,12.77,11.94,0.83,0,0,0,6781,3.44,6911,3.37,23.31,0.31,0,1,0,0,1,0,1,2,5,351,383,32,19,27,8,105,10,265,402,137,264,336,72,46.52,1706
2/9/19,103119,1.1,45.93,113778,0,0,0,0,0,0,0,0,0,14.24,13.88,13.06,0.83,0,0,0,6943,3.63,7080,3.56,25.24,0.36,0,1,0,0,1,0,1,0,0,317,362,45,29,42,13,99,7,162,348,186,338,384,46,45.93,1896
2/10/19,107641,1.1,46.76,121123,0,0,0,0,0,0,0,0,0,12.54,12.13,11.5,0.64,0,0,0,6992,3.17,7168,3.09,22.15,0.41,0,9,0,5,9,55.56,9,0,0,303,373,70,40,53,13,108,5,135,303,168,370,427,57,46.76,2019
2/11/19,109536,1.8,40.81,202173,0,0,0,0,0,0,0,0,0,12.1,11.7,11.26,0.45,0,0,0,7229,2.95,7369,2.89,21.3,0.39,0,3,0,1,3,33.33,3,4,2,534,585,51,46,67,21,132,23,414,580,166,361,440,79,40.81,3370
2/12/19,106335,2.3,39.33,240826,0,0,0,0,0,0,0,0,0,11.48,10.63,10.07,0.56,0,0,0,6217,3.13,6445,3.02,19.45,0.85,0,2,0,0,2,0,2,2,2,482,531,49,45,65,20,123,12,429,630,201,522,598,76,39.33,4014
2/13/19,108069,2.3,38.41,253948,0,0,0,0,0,0,0,0,0,13.18,12.48,12.1,0.38,0,0,0,6873,3.3,7099,3.2,22.69,0.7,0,3,0,1,3,33.33,3,1,1,501,569,68,38,56,18,113,18,340,539,199,581,643,62,38.41,4232
2/14/19,105279,2.5,35.22,261664,0,0,0,0,0,0,0,0,0,13.21,12.27,11.79,0.48,0,0,0,6783,3.29,6918,3.22,22.3,0.94,0,2,0,0,2,0,2,0,5,407,458,51,22,47,25,103,12,404,603,199,521,564,43,35.22,4361
